#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 10 K
#	Minimum temperature: 8.1 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Time per measurement: 0.1 s
#	Voltage Range: 0.2 V
#Data:
Temperature (K),Voltage (V)
8.0869,0.0544768
8.0868,0.0544771
8.0868,0.0544773
8.0869,0.054478
8.0869,0.0544777
8.0869,0.0544776
8.0868,0.0544777
8.0868,0.054477
8.0869,0.054477
8.087,0.054478
8.087,0.0544775
8.0871,0.0544763
8.0872,0.0544764
8.0872,0.0544754
8.0873,0.0544761
8.0873,0.0544759
8.0873,0.0544767
8.0873,0.0544776
8.0874,0.0544777
8.0875,0.0544779
8.0875,0.0544762
8.0875,0.0544757
8.0876,0.054476
8.0877,0.0544752
8.0877,0.0544756
8.0877,0.0544766
8.0878,0.0544755
8.0879,0.0544758
8.088,0.0544758
8.0881,0.0544747
8.0882,0.0544749
8.0883,0.0544747
8.0885,0.0544754
8.0886,0.0544754
8.0887,0.0544764
8.0888,0.0544766
8.0889,0.0544762
8.0891,0.0544765
8.0892,0.0544769
8.0893,0.0544766
8.0894,0.0544758
8.0896,0.0544754
8.0897,0.0544757
8.0898,0.0544748
8.09,0.0544756
8.0901,0.054476
8.0903,0.054476
8.0905,0.0544759
8.0906,0.0544739
8.0908,0.0544741
8.0909,0.054474
8.0912,0.0544731
8.0913,0.0544724
8.0915,0.0544733
8.0917,0.054474
8.0919,0.0544727
8.0921,0.0544733
8.0922,0.0544725
8.0923,0.0544725
8.0925,0.0544737
8.0927,0.0544731
8.0929,0.0544737
8.0932,0.054474
8.0934,0.054474
8.0936,0.0544745
8.0938,0.0544754
8.094,0.0544749
8.0942,0.0544743
8.0944,0.0544742
8.0947,0.0544756
8.0949,0.0544745
8.0953,0.0544747
8.0954,0.0544738
8.0955,0.0544734
8.0957,0.0544739
8.096,0.0544748
8.0963,0.0544745
8.0965,0.0544765
8.0967,0.054476
8.0971,0.0544753
8.0974,0.0544748
8.0978,0.0544748
8.098,0.0544757
8.0984,0.0544755
8.0987,0.0544749
8.099,0.0544749
8.0993,0.0544751
8.0996,0.0544752
8.0999,0.0544742
8.1004,0.0544742
8.1008,0.0544735
8.1011,0.0544731
8.1013,0.0544736
8.1017,0.0544741
8.1021,0.0544737
8.1025,0.0544748
8.1029,0.0544746
8.1033,0.0544744
8.1036,0.0544739
8.104,0.0544743
8.1043,0.0544735
8.1046,0.0544742
8.105,0.0544743
8.1054,0.0544751
8.1061,0.0544757
8.1064,0.0544758
8.1068,0.0544757
8.1072,0.0544748
8.1079,0.0544758
8.1083,0.0544761
8.1087,0.0544756
8.1092,0.0544751
8.1097,0.0544752
8.1101,0.0544754
8.1105,0.0544743
8.1109,0.0544744
8.1114,0.0544753
8.1118,0.0544747
8.1123,0.0544749
8.1128,0.0544755
8.1132,0.0544749
8.1139,0.0544756
8.1145,0.0544761
8.1149,0.054476
8.1154,0.054476
8.1159,0.0544762
8.1167,0.054475
8.1172,0.0544756
8.1177,0.0544746
8.1182,0.0544746
8.1187,0.0544747
8.1193,0.054476
8.1199,0.0544757
8.1204,0.0544767
8.121,0.0544763
8.1218,0.0544759
8.1224,0.0544751
8.123,0.054475
8.1235,0.0544745
8.1241,0.0544748
8.1247,0.0544749
8.1253,0.0544756
8.1259,0.0544754
8.1264,0.0544748
8.1273,0.0544748
8.1279,0.054476
8.1285,0.0544774
8.1291,0.054477
8.1297,0.0544768
8.1304,0.0544757
8.1315,0.0544755
8.1322,0.0544763
8.1328,0.0544775
8.1334,0.0544773
8.1345,0.0544768
8.1352,0.0544769
8.1358,0.0544768
8.1364,0.0544773
8.1371,0.0544766
8.1379,0.0544766
8.1386,0.0544764
8.1394,0.0544764
8.1401,0.0544759
8.1408,0.0544763
8.1419,0.0544768
8.1426,0.0544769
8.1433,0.0544766
8.144,0.0544773
8.1448,0.0544769
8.1456,0.054477
8.1468,0.0544773
8.1475,0.0544783
8.1484,0.0544785
8.1492,0.054479
8.15,0.0544789
8.1508,0.0544794
8.1515,0.0544803
8.1524,0.05448
8.1532,0.0544791
8.1545,0.0544794
8.1553,0.0544793
8.1562,0.0544794
8.1571,0.0544785
8.158,0.0544791
8.1589,0.0544795
8.1601,0.0544795
8.161,0.0544789
8.1614,0.0544796
8.1628,0.0544797
8.1636,0.0544804
8.1645,0.0544804
8.1653,0.0544802
8.1663,0.0544801
8.1672,0.0544808
8.1681,0.054481
8.1689,0.0544816
8.1699,0.0544811
8.1714,0.0544798
8.1723,0.0544811
8.1733,0.0544811
8.1742,0.054482
8.1752,0.054481
8.1763,0.0544812
8.1778,0.054481
8.1787,0.0544819
8.1797,0.0544827
8.1807,0.0544835
8.1818,0.0544845
8.1828,0.0544843
8.1838,0.0544834
8.1848,0.0544819
8.1859,0.0544834
8.1875,0.0544829
8.1885,0.0544829
8.1896,0.0544828
8.1907,0.0544823
8.1918,0.0544814
8.1928,0.0544812
8.1938,0.0544814
8.1949,0.0544821
8.1966,0.0544827
8.1977,0.0544829
8.1988,0.0544833
8.1999,0.0544837
8.201,0.0544837
8.2021,0.0544824
8.2033,0.0544824
8.2044,0.0544824
8.2055,0.0544824
8.2066,0.0544824
8.2078,0.054482
8.209,0.0544828
8.2102,0.0544831
8.212,0.0544825
8.2132,0.0544824
8.2144,0.0544821
8.2156,0.0544833
8.2173,0.0544824
8.2185,0.0544835
8.2197,0.0544841
8.2209,0.054484
8.2222,0.0544846
8.2233,0.0544848
8.2246,0.0544848
8.2259,0.0544849
8.2278,0.0544861
8.229,0.0544863
8.2303,0.0544858
8.2316,0.054485
8.2329,0.0544851
8.2342,0.0544854
8.2354,0.0544846
8.2366,0.0544849
8.238,0.0544862
8.2393,0.0544856
8.2413,0.0544854
8.2426,0.0544866
8.2439,0.0544862
8.2453,0.0544863
8.2466,0.054487
8.248,0.0544872
8.2493,0.0544862
8.2506,0.0544864
8.2527,0.0544872
8.2541,0.0544884
8.2555,0.0544886
8.2569,0.0544884
8.2583,0.0544886
8.2597,0.054488
8.2618,0.0544881
8.2632,0.054488
8.2646,0.0544878
8.266,0.0544876
8.2681,0.0544887
8.2688,0.0544891
8.2702,0.0544885
8.2723,0.0544881
8.2737,0.054488
8.2752,0.0544871
8.2766,0.0544866
8.2781,0.0544867
8.2803,0.0544866
8.2819,0.0544868
8.2833,0.0544865
8.2847,0.054487
8.2862,0.0544872
8.2877,0.054488
8.2893,0.0544881
8.2908,0.0544872
8.2922,0.0544883
8.2937,0.0544876
8.2953,0.0544889
8.2969,0.054489
8.2984,0.0544892
8.2999,0.0544888
8.3014,0.0544884
8.303,0.0544886
8.3045,0.054489
8.3068,0.0544889
8.3083,0.054489
8.3099,0.0544888
8.3114,0.0544894
8.313,0.0544889
8.3146,0.0544888
8.3161,0.0544886
8.3176,0.054489
8.3193,0.05449
8.3209,0.0544898
8.3224,0.05449
8.324,0.0544906
8.3264,0.0544902
8.328,0.0544907
8.3296,0.054491
8.3312,0.0544921
8.3328,0.0544922
8.3345,0.0544921
8.3362,0.0544921
8.3378,0.0544918
8.3394,0.054492
8.3411,0.0544917
8.3428,0.0544916
8.3445,0.0544913
8.3469,0.0544907
8.3485,0.05449
8.3502,0.054491
8.3519,0.054491
8.3536,0.0544911
8.3552,0.0544903
8.3568,0.0544917
8.3585,0.0544917
8.3603,0.0544924
8.3619,0.0544935
8.3636,0.0544935
8.3653,0.0544936
8.3671,0.0544942
8.3688,0.0544955
8.3714,0.0544952
8.3731,0.0544961
8.3748,0.0544965
8.3766,0.0544961
8.3783,0.0544958
8.3801,0.0544968
8.3818,0.054497
8.3835,0.0544969
8.3853,0.0544973
8.3871,0.0544976
8.3897,0.0544977
8.3914,0.0544979
8.3932,0.054498
8.395,0.0544979
8.3968,0.054498
8.3986,0.0544988
8.4004,0.0544993
8.4023,0.0544989
8.4049,0.0544986
8.4067,0.0544996
8.4084,0.0545002
8.4102,0.0544997
8.4121,0.0544991
8.4139,0.0545012
8.4157,0.0545012
8.4175,0.0545014
8.4194,0.0545018
8.4222,0.0545012
8.424,0.0545013
8.4258,0.0545012
8.4276,0.0545014
8.4294,0.0545011
8.4313,0.0545017
8.434,0.0545013
8.4358,0.0545006
8.4377,0.0545013
8.4396,0.0545008
8.4424,0.0545008
8.4433,0.0545016
8.4451,0.0545013
8.447,0.0545012
8.449,0.0545003
8.4509,0.0545003
8.4527,0.0545012
8.4546,0.0545019
8.4574,0.0545011
8.4594,0.0545009
8.4613,0.0545006
8.4632,0.0545013
8.465,0.0545024
8.4669,0.0545017
8.4698,0.0545027
8.4717,0.0545037
8.4735,0.0545034
8.4754,0.0545042
8.4774,0.0545054
8.4793,0.0545056
8.4812,0.0545059
8.4831,0.0545063
8.485,0.0545073
8.4869,0.0545083
8.4889,0.0545056
8.4908,0.0545058
8.4936,0.054506
8.4956,0.0545062
8.4976,0.054507
8.4995,0.0545068
8.5014,0.0545069
8.5033,0.054506
8.5062,0.0545057
8.5081,0.0545071
8.51,0.0545075
8.5119,0.054508
8.5139,0.0545071
8.5159,0.0545074
8.5179,0.0545076
8.5198,0.0545084
8.5217,0.0545081
8.5237,0.0545073
8.5257,0.0545072
8.5277,0.0545068
8.5297,0.054507
8.5317,0.0545078
8.5336,0.0545074
8.5356,0.0545085
8.5376,0.0545087
8.5396,0.054509
8.5424,0.0545088
8.5445,0.0545093
8.5465,0.0545088
8.5485,0.0545086
8.5505,0.0545084
8.5526,0.0545084
8.5546,0.0545086
8.5567,0.0545085
8.5588,0.0545081
8.5608,0.0545103
8.5628,0.054511
8.5649,0.0545109
8.567,0.0545118
8.5691,0.0545123
8.5711,0.0545119
8.5731,0.0545116
8.5763,0.0545122
8.5784,0.0545113
8.5805,0.0545117
8.5826,0.0545108
8.5846,0.0545112
8.5867,0.0545114
8.5889,0.054513
8.591,0.0545133
8.5931,0.0545135
8.5952,0.0545143
8.5974,0.0545143
8.5995,0.0545135
8.6027,0.0545141
8.6047,0.0545136
8.6068,0.0545135
8.6089,0.0545139
8.611,0.0545143
8.6142,0.0545149
8.6162,0.0545154
8.6184,0.0545149
8.6205,0.0545156
8.6226,0.0545166
8.6247,0.0545173
8.6278,0.0545176
8.63,0.0545162
8.6321,0.0545174
8.6342,0.054517
8.6373,0.0545171
8.6395,0.0545167
8.6416,0.0545174
8.6437,0.0545175
8.6458,0.0545177
8.6479,0.0545177
8.6501,0.0545166
8.6521,0.0545174
8.6542,0.0545175
8.6573,0.0545178
8.6595,0.0545171
8.6617,0.0545173
8.6638,0.0545167
8.6659,0.054517
8.668,0.0545174
8.6702,0.0545179
8.6724,0.0545181
8.6745,0.0545173
8.6776,0.0545179
8.6798,0.0545183
8.6819,0.0545186
8.684,0.0545181
8.6862,0.0545183
8.6882,0.0545194
8.6903,0.0545194
8.6925,0.0545197
8.6947,0.0545195
8.6979,0.0545179
8.6999,0.0545194
8.7021,0.0545196
8.7042,0.0545191
8.7064,0.0545197
8.7085,0.0545198
8.7107,0.0545201
8.7129,0.05452
8.7161,0.0545202
8.7182,0.0545195
8.7203,0.0545197
8.7224,0.0545193
8.7245,0.0545207
8.7267,0.0545211
8.7288,0.0545207
8.7309,0.0545218
8.7331,0.0545212
8.7352,0.0545205
8.7385,0.0545202
8.7407,0.0545197
8.7428,0.0545199
8.7449,0.0545203
8.7471,0.0545209
8.7493,0.0545214
8.7514,0.0545217
8.7535,0.054523
8.7557,0.0545223
8.7578,0.0545232
8.761,0.0545221
8.7631,0.0545221
8.7652,0.0545226
8.7674,0.0545224
8.7695,0.0545218
8.7717,0.0545216
8.7738,0.0545214
8.777,0.0545222
8.7791,0.0545223
8.7813,0.0545238
8.7834,0.0545241
8.7855,0.0545244
8.7877,0.0545245
8.7909,0.0545251
8.7931,0.0545254
8.7952,0.0545253
8.7973,0.0545262
8.7995,0.0545258
8.8016,0.0545266
8.8037,0.0545262
8.8058,0.0545267
8.8079,0.0545273
8.8101,0.0545271
8.8123,0.0545274
8.8144,0.0545265
8.8165,0.0545277
8.8197,0.0545275
8.8218,0.0545273
8.824,0.0545277
8.8262,0.0545284
8.8282,0.0545272
8.8315,0.0545273
8.8337,0.0545275
8.8358,0.0545283
8.838,0.0545287
8.8401,0.0545286
8.8423,0.0545291
8.8444,0.0545284
8.8466,0.0545282
8.8486,0.0545278
8.8507,0.0545285
8.8529,0.0545282
8.855,0.0545284
8.8571,0.0545287
8.8603,0.0545286
8.8624,0.0545291
8.8646,0.0545299
8.8667,0.0545298
8.8698,0.05453
8.8719,0.0545294
8.8742,0.054529
8.8763,0.05453
8.8784,0.0545296
8.8805,0.0545294
8.8826,0.0545291
8.8848,0.0545292
8.888,0.0545293
8.89,0.0545302
8.8922,0.0545304
8.8943,0.054531
8.8964,0.0545308
8.8986,0.0545306
8.9007,0.0545298
8.9028,0.05453
8.9049,0.0545301
8.9081,0.0545299
8.9102,0.0545311
8.9123,0.0545306
8.9144,0.0545307
8.9166,0.0545318
8.9187,0.0545322
8.9208,0.0545324
8.9229,0.0545323
8.925,0.0545326
8.9271,0.0545328
8.9292,0.0545327
8.9313,0.0545334
8.9333,0.0545334
8.9354,0.0545334
8.9376,0.0545334
8.9408,0.0545335
8.9429,0.0545335
8.946,0.0545328
8.9481,0.0545322
8.9503,0.0545325
8.9524,0.054532
8.9544,0.0545322
8.9565,0.0545328
8.9586,0.0545329
8.9607,0.0545321
8.9639,0.0545335
8.9659,0.0545336
8.968,0.0545334
8.9702,0.0545333
8.9723,0.0545334
8.9744,0.054534
8.9764,0.0545338
8.9797,0.054535
8.9818,0.0545355
8.9839,0.0545353
8.986,0.0545358
8.9881,0.0545358
8.9902,0.0545369
8.9933,0.0545375
8.9954,0.0545377
8.9975,0.0545363
8.9996,0.0545368
9.0027,0.0545366
9.0047,0.0545367
9.0068,0.054537
9.0089,0.0545373
9.011,0.0545378
9.0131,0.0545369
9.0152,0.0545371
9.0172,0.0545371
9.0192,0.0545383
9.0213,0.0545379
9.0234,0.0545387
9.0255,0.0545385
9.0276,0.0545388
9.0297,0.0545392
9.0318,0.05454
9.0349,0.0545403
9.037,0.0545389
9.0391,0.0545394
9.0412,0.0545403
9.0433,0.0545395
9.0464,0.0545399
9.0484,0.0545392
9.0505,0.0545403
9.0526,0.0545408
9.0547,0.0545409
9.0568,0.0545414
9.0588,0.0545412
9.0609,0.0545417
9.064,0.0545427
9.0661,0.0545429
9.0682,0.0545422
9.0702,0.0545416
9.0733,0.0545428
9.0754,0.0545437
9.0775,0.0545432
9.0795,0.0545436
9.0816,0.0545427
9.0836,0.054542
9.0857,0.0545419
9.0878,0.0545419
9.0898,0.0545421
9.0929,0.0545428
9.095,0.0545426
9.097,0.0545425
9.0991,0.0545432
9.1011,0.0545434
9.1031,0.0545439
9.1052,0.0545436
9.1072,0.0545439
9.1103,0.0545439
9.1123,0.0545446
9.1143,0.054544
9.1165,0.0545448
9.1185,0.0545447
9.1206,0.0545445
9.1236,0.0545442
9.1246,0.0545439
9.1267,0.0545445
9.1298,0.0545457
9.1318,0.0545454
9.1337,0.054547
9.1358,0.0545469
9.1379,0.0545465
9.1399,0.0545466
9.142,0.054546
9.145,0.0545454
9.1471,0.0545451
9.1491,0.0545446
9.1511,0.0545451
9.1531,0.0545453
9.1562,0.0545463
9.1582,0.0545463
9.1602,0.0545466
9.1623,0.0545468
9.1643,0.0545466
9.1663,0.0545471
9.1694,0.0545459
9.1714,0.0545464
9.1734,0.0545461
9.1755,0.0545454
9.1775,0.0545459
9.1796,0.054546
9.1816,0.0545453
9.1846,0.0545459
9.1867,0.0545459
9.1886,0.0545463
9.1907,0.0545467
9.1926,0.054547
9.1947,0.054548
9.1967,0.0545478
9.1987,0.0545478
9.2008,0.0545473
9.2038,0.0545484
9.2059,0.0545489
9.2081,0.0545491
9.2101,0.0545498
9.2122,0.0545497
9.2143,0.0545495
9.2163,0.0545496
9.2185,0.0545498
9.2206,0.0545498
9.2236,0.05455
9.2257,0.0545503
9.2278,0.0545498
9.2299,0.0545498
9.2319,0.05455
9.2339,0.0545497
9.236,0.0545501
9.2381,0.0545505
9.2402,0.0545513
9.2432,0.0545509
9.2452,0.0545506
9.2473,0.0545513
9.2494,0.0545502
9.2514,0.0545505
9.2534,0.0545512
9.2554,0.0545507
9.2575,0.0545516
9.2596,0.0545518
9.2617,0.0545527
9.2637,0.0545524
9.2657,0.0545525
9.2678,0.0545524
9.2699,0.0545526
9.2719,0.0545524
9.274,0.0545524
9.276,0.0545527
9.279,0.0545527
9.2811,0.054553
9.2831,0.0545539
9.285,0.0545534
9.2871,0.0545526
9.2891,0.054554
9.2911,0.0545537
9.2931,0.0545537
9.2951,0.0545544
9.2971,0.0545539
9.2992,0.054555
9.3013,0.0545548
9.3033,0.0545551
9.3053,0.0545554
9.3073,0.0545563
9.3103,0.0545562
9.3123,0.0545565
9.3143,0.0545556
9.3173,0.0545552
9.3183,0.0545549
9.3204,0.0545549
9.3235,0.0545548
9.3255,0.0545549
9.3274,0.0545544
9.3295,0.0545549
9.3325,0.054555
9.3344,0.0545545
9.3364,0.0545549
9.3384,0.0545549
9.3405,0.0545551
9.3425,0.0545556
9.3455,0.0545558
9.3475,0.0545566
9.3495,0.054557
9.3515,0.0545568
9.3534,0.0545569
9.3564,0.0545573
9.3584,0.0545565
9.3604,0.0545569
9.3623,0.0545564
9.3642,0.0545565
9.3662,0.0545571
9.3692,0.0545572
9.3713,0.0545574
9.3732,0.0545579
9.3752,0.054558
9.3771,0.0545591
9.3791,0.0545593
9.3811,0.054559
9.3841,0.0545594
9.3861,0.0545598
9.3881,0.0545589
9.3901,0.0545601
9.392,0.0545598
9.394,0.0545597
9.396,0.0545597
9.398,0.0545607
9.4009,0.0545603
9.4028,0.0545602
9.4047,0.0545609
9.4067,0.0545603
9.4087,0.0545603
9.4107,0.0545607
9.4126,0.0545605
9.4146,0.0545604
9.4166,0.0545608
9.4185,0.054561
9.4205,0.0545619
9.4224,0.0545619
9.4244,0.054562
9.4263,0.0545615
9.4283,0.0545609
9.4312,0.0545608
9.4331,0.0545598
9.4351,0.0545609
9.437,0.0545615
9.439,0.0545614
9.441,0.0545603
9.4438,0.0545606
9.4458,0.0545609
9.4477,0.0545617
9.4497,0.0545614
9.4525,0.0545611
9.4544,0.0545625
9.4563,0.0545624
9.4583,0.0545624
9.4603,0.0545625
9.4622,0.0545627
9.4641,0.0545622
9.466,0.0545618
9.468,0.0545629
9.4709,0.0545625
9.4729,0.0545625
9.4748,0.0545631
9.4767,0.0545623
9.4786,0.0545622
9.4805,0.0545628
9.4824,0.0545624
9.4843,0.0545628
9.4863,0.0545619
9.4892,0.0545619
9.4911,0.0545618
9.493,0.0545613
9.4949,0.0545623
9.4968,0.0545623
9.4988,0.0545623
9.5007,0.054562
9.5026,0.0545625
9.5055,0.0545629
9.5074,0.0545622
9.5093,0.0545623
9.5112,0.0545617
9.5131,0.0545622
9.5151,0.0545622
9.517,0.0545617
9.5198,0.0545624
9.5217,0.0545629
9.5236,0.0545634
9.5255,0.0545634
9.5274,0.0545638
9.5293,0.0545638
9.5312,0.0545642
9.5331,0.0545647
9.535,0.0545645
9.5369,0.0545652
9.5397,0.0545652
9.5416,0.0545647
9.5435,0.0545652
9.5454,0.0545653
9.5473,0.0545649
9.5492,0.0545644
9.552,0.0545659
9.5539,0.0545665
9.5558,0.0545669
9.5577,0.0545666
9.5595,0.0545669
9.5614,0.0545664
9.5633,0.0545667
9.5653,0.0545666
9.5672,0.0545667
9.569,0.0545663
9.5709,0.0545664
9.5737,0.0545672
9.5756,0.054566
9.5775,0.0545664
9.5794,0.0545666
9.5813,0.0545669
9.5832,0.054567
9.5851,0.0545675
9.5869,0.054568
9.5888,0.0545682
9.5906,0.0545686
9.5925,0.0545683
9.5944,0.0545691
9.5962,0.0545698
9.5981,0.0545698
9.6,0.0545704
9.6019,0.0545697
9.6037,0.0545695
9.6065,0.0545692
9.6084,0.0545696
9.6103,0.0545689
9.6121,0.0545688
9.614,0.0545689
9.6167,0.0545689
9.6186,0.0545691
9.6205,0.0545695
9.6224,0.0545696
9.6252,0.0545695
9.6271,0.0545704
9.628,0.0545703
9.6299,0.054571
9.6317,0.0545716
9.6336,0.0545723
9.6354,0.0545713
9.6373,0.0545715
9.6401,0.0545711
9.642,0.0545708
9.6438,0.0545712
9.6457,0.054571
9.6476,0.0545706
9.6495,0.0545711
9.6523,0.0545709
9.6542,0.0545708
9.656,0.0545705
9.6579,0.0545705
9.6606,0.0545711
9.6625,0.0545711
9.6643,0.0545716
9.6662,0.0545718
9.668,0.0545717
9.6699,0.0545725
9.6717,0.0545728
9.6735,0.0545733
9.6764,0.0545733
9.6782,0.0545738
9.6801,0.0545738
9.682,0.0545731
9.6839,0.0545732
9.6857,0.0545732
9.6885,0.0545731
9.6903,0.054574
9.6922,0.0545738
9.694,0.0545745
9.6959,0.0545739
9.6977,0.0545741
9.6995,0.0545737
9.7013,0.0545739
9.7032,0.0545734
9.705,0.0545737
9.7068,0.0545739
9.7086,0.0545734
9.7104,0.0545743
9.7123,0.0545743
9.7151,0.0545747
9.7169,0.0545745
9.7187,0.0545744
9.7206,0.0545746
9.7225,0.0545743
9.7243,0.0545737
9.7261,0.0545731
9.7279,0.054573
9.7306,0.0545729
9.7324,0.0545726
9.7342,0.0545738
9.736,0.0545741
9.7386,0.0545739
9.7403,0.0545739
9.7421,0.0545742
9.7437,0.0545741
9.7454,0.0545742
9.7471,0.0545741
9.7489,0.0545754
9.7506,0.0545757
9.7531,0.054576
9.7548,0.0545755
9.7565,0.0545751
9.7581,0.0545761
9.7598,0.0545757
9.7614,0.0545763
9.7638,0.0545765
9.7654,0.0545763
9.7671,0.0545766
9.7686,0.0545765
9.7709,0.0545768
9.7724,0.0545769
9.7732,0.0545772
9.7748,0.0545769
9.7763,0.0545767
9.7785,0.0545761
9.78,0.0545759
9.7815,0.0545762
9.7829,0.054576
9.785,0.0545764
9.7864,0.054577
9.7878,0.054577
9.7893,0.0545766
9.7908,0.0545768
9.7921,0.0545764
9.7942,0.0545768
9.7955,0.0545771
9.7969,0.0545773
9.7982,0.0545772
9.7995,0.0545774
9.8008,0.0545778
9.8022,0.0545778
9.8034,0.0545779
9.8047,0.0545785
9.806,0.0545784
9.8073,0.0545783
9.8092,0.0545782
9.8104,0.0545784
9.8117,0.0545779
9.8129,0.0545782
9.8142,0.0545788
9.8154,0.0545788
9.8166,0.0545791
9.8178,0.0545795
9.819,0.0545795
9.8202,0.0545788
9.8214,0.0545796
9.8225,0.0545797
9.8237,0.0545797
9.8254,0.0545793
9.8266,0.0545794
9.8278,0.0545797
9.8289,0.0545796
9.8299,0.0545805
9.8311,0.0545809
9.8322,0.0545809
9.8333,0.0545805
9.8349,0.0545806
9.836,0.0545816
9.8371,0.0545811
9.8382,0.0545812
9.8392,0.0545808
9.8402,0.0545816
9.8412,0.0545818
9.8423,0.0545813
9.8433,0.054582
9.8448,0.0545823
9.8458,0.054582
9.8468,0.0545828
9.8478,0.0545832
9.8488,0.0545831
9.8497,0.0545833
9.8512,0.0545832
9.8521,0.0545826
9.8531,0.0545827
9.854,0.0545823
9.8555,0.0545823
9.8564,0.054582
9.8573,0.0545822
9.8583,0.0545829
9.8592,0.054582
9.8601,0.0545822
9.861,0.0545828
9.8619,0.0545824
9.8628,0.0545825
9.8641,0.054582
9.865,0.0545816
9.866,0.0545819
9.8669,0.0545817
9.8677,0.0545816
9.8685,0.0545823
9.8693,0.0545821
9.8702,0.0545823
9.8714,0.0545834
9.8722,0.0545827
9.873,0.0545833
9.8739,0.054583
9.8747,0.0545829
9.8755,0.0545835
9.8763,0.054584
9.8775,0.0545835
9.8782,0.0545836
9.879,0.0545835
9.8798,0.0545833
9.8809,0.0545831
9.8817,0.0545836
9.8824,0.0545832
9.8831,0.0545826
9.8838,0.0545831
9.8846,0.054583
9.8853,0.054583
9.8865,0.054584
9.8872,0.0545841
9.8879,0.0545836
9.8886,0.054584
9.8894,0.0545834
9.8901,0.0545832
9.8908,0.0545829
9.8915,0.0545833
9.8922,0.0545837
9.8933,0.0545832
9.894,0.0545826
9.8946,0.0545833
9.8953,0.054583
9.8959,0.0545835
9.8966,0.0545837
9.8972,0.0545837
9.8979,0.0545834
9.8986,0.0545831
9.8993,0.0545831
9.9,0.0545826
