#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Field Step: 0.01 T
#	Magnet Ramp Rate: 0.1 A/s
#	Max Field: 0.5 T
#	Min Field: -0.5 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Sample name: 3168
#	Set Current: 0.0001 A
#	Set temperature: 8.6 K
#	Time per measurement: 0.1 s
#Data:
Resistance (ohm),Voltage (V),Magnetic Field (T)
-1034.56676,-0.103456676,0.32005
-176.18161,-0.017618161,0.31008
-836.2135199999999,-0.083621352,0.30009
-892.0225829999999,-0.0892022583,0.29006
-929.4660409999999,-0.0929466041,0.28004
-942.545362,-0.0942545362,0.27008
-899.5006769999999,-0.0899500677,0.26008
-802.2664,-0.08022664,0.25006
-896.2174389999999,-0.0896217439,0.24005
-204.519266,-0.0204519266,0.23008
-906.7554769999999,-0.0906755477,0.22006
-1000.67184,-0.100067184,0.21008
-714.7790789999999,-0.0714779079,0.20008
-246.64924,-0.024664924,0.19011
-898.297874,-0.0898297874,0.18007
-868.043021,-0.0868043021,0.17008
-906.055473,-0.0906055473,0.16005
-812.155002,-0.0812155002,0.15006
-970.0784719999999,-0.0970078472,0.14003
-1035.55694,-0.103555694,0.13006
-137.882129,-0.0137882129,0.12007
-834.7361629999999,-0.0834736163,0.11006
-991.771565,-0.0991771565,0.10006
-180.258921,-0.0180258921,0.09003
-956.745809,-0.0956745809,0.08002
-134.59578299999998,-0.0134595783,0.07004
-903.619073,-0.0903619073,0.06006
-274.80292499999996,-0.0274802925,0.05007
-1030.97262,-0.103097262,0.04004
-264.248694,-0.0264248694,0.03005
-1028.77025,-0.102877025,0.02002
-140.74477,-0.014074477,0.01002
-873.99454,-0.087399454,-0.02623
-272.90506799999997,-0.0272905068,-0.00988
-985.940491,-0.0985940491,-0.01987
-199.967029,-0.0199967029,-0.02987
-937.976826,-0.0937976826,-0.03989
-215.39387399999998,-0.0215393874,-0.04987
-738.601272,-0.0738601272,-0.05986
-180.41608499999998,-0.0180416085,-0.06991
-44.940781099999995,-0.00449407811,-0.07987
0.7665006129999999,7.66500613e-05,-0.08985
-159.552251,-0.0159552251,-0.09984
-1028.68813,-0.102868813,-0.10986
-197.287693,-0.0197287693,-0.11987
-881.4532780000001,-0.0881453278,-0.12985
-183.78786899999997,-0.0183787869,-0.1399
-922.7842919999999,-0.0922784292,-0.14988
-250.21620599999997,-0.0250216206,-0.15989
-782.741134,-0.0782741134,-0.16986
-363.540189,-0.0363540189,-0.17988
-775.685473,-0.0775685473,-0.18987
-951.376136,-0.0951376136,-0.19987
-993.2843169999999,-0.0993284317,-0.20989
-1018.5680199999999,-0.101856802,-0.21986
-881.3729109999999,-0.0881372911,-0.22988
-261.956796,-0.0261956796,-0.23987
-917.360208,-0.0917360208,-0.24988
-156.40760999999998,-0.015640761,-0.25987
-393.509397,-0.0393509397,-0.26987
-157.98026199999998,-0.0157980262,-0.27991
85.2669227,0.00852669227,-0.2899
-185.98760099999998,-0.0185987601,-0.2999
-365.761931,-0.0365761931,-0.30988
-528.686996,-0.0528686996,-0.31993
7.17580222,0.000717580222,-0.32988
1.2430458199999999,0.000124304582,-0.33988
-310.955757,-0.0310955757,-0.34989
-651.0146209999999,-0.0651014621,-0.35989
-210.32590399999998,-0.0210325904,-0.36986
-534.929367,-0.0534929367,-0.37985
-474.324394,-0.0474324394,-0.3899
-546.9785519999999,-0.0546978552,-0.3999
-737.985079,-0.0737985079,-0.40988
-906.340431,-0.0906340431,-0.4199
-920.464669,-0.0920464669,-0.42991
-665.878563,-0.0665878563,-0.43991
-759.085967,-0.0759085967,-0.44987
-332.80752599999994,-0.0332807526,-0.45991
-318.74127699999997,-0.0318741277,-0.46989
-598.4814809999999,-0.0598481481,-0.47993
-579.4824669999999,-0.0579482467,-0.4899
-833.5508299999999,-0.083355083,-0.49991
-375.704055,-0.0375704055,-0.4899
-420.269112,-0.0420269112,-0.47993
-429.622564,-0.0429622564,-0.46989
-438.79731599999997,-0.0438797316,-0.45991
-441.069486,-0.0441069486,-0.44986
-461.61022599999995,-0.0461610226,-0.43991
-476.12320299999993,-0.0476123203,-0.42991
-496.614754,-0.0496614754,-0.41989
-489.10319200000004,-0.0489103192,-0.40988
-479.03387499999997,-0.0479033875,-0.3999
-485.88069099999996,-0.0485880691,-0.3899
-517.149116,-0.0517149116,-0.37985
-541.449183,-0.0541449183,-0.36986
-521.550751,-0.0521550751,-0.35988
-572.101465,-0.0572101465,-0.34989
-591.514882,-0.0591514882,-0.33988
-509.281319,-0.0509281319,-0.32988
-517.230769,-0.0517230769,-0.31993
-517.8622359999999,-0.0517862236,-0.30988
-5358.55408,-0.535855408,-0.2999
2540.28032,0.254028032,-0.28989
1120.20127,0.112020127,-0.27991
0.8618936309999999,8.61893631e-05,-0.26987
0.054506209199999996,5.45062092e-06,-0.25987
0.019423380699999996,1.94233807e-06,-0.24988
-0.0023425879799999997,-2.34258798e-07,-0.23987
-0.011385047,-1.1385047e-06,-0.22988
-0.023590505599999995,-2.35905056e-06,-0.21985
-0.0322538033,-3.22538033e-06,-0.20988
-0.0421712347,-4.21712347e-06,-0.19987
-0.048514351899999995,-4.85143519e-06,-0.18987
-0.0525774401,-5.25774401e-06,-0.17988
-0.05488357099999999,-5.4883571e-06,-0.16986
-0.056482702499999995,-5.64827025e-06,-0.15989
-0.0562162002,-5.62162002e-06,-0.14987
-0.060183758799999994,-6.01837588e-06,-0.13989
-0.060076137999999994,-6.0076138e-06,-0.12985
-0.0613141767,-6.13141767e-06,-0.11986
-0.062190156399999995,-6.21901564e-06,-0.10986
-0.0640557375,-6.40557375e-06,-0.09984
-0.062216255299999995,-6.22162553e-06,-0.08984
-0.0653129065,-6.53129065e-06,-0.07987
-0.06253109899999999,-6.2531099e-06,-0.06991
-0.0601887042,-6.01887042e-06,-0.05986
-0.0578060903,-5.78060903e-06,-0.04987
-0.0572328871,-5.72328871e-06,-0.03988
-0.0568607768,-5.68607768e-06,-0.02987
-0.0563579348,-5.63579348e-06,-0.01987
-0.0548322511,-5.48322511e-06,-0.00988
